TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,-4,213,7,77
Blame,Calvin Harris,dance pop,2015,128,86,-4,213,8,76
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,-3,222,3,80
My Way,Calvin Harris,dance pop,2017,120,91,-3,219,4,78
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,-3,231,5,75
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,-3,215,11,86
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,-4,229,4,84
Crying in the Club,Camila Cabello,dance pop,2017,85,62,-6,216,38,75
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,-4,217,3,85
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,-4,227,9,57
Bodak Yellow,Cardi B,pop,2017,125,72,-6,224,11,70
I Like It,Cardi B,pop,2018,136,73,-4,253,13,85
Drip (feat. Migos),Cardi B,pop,2018,130,59,-8,264,26,45
Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,120,58,-7,193,4,76
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122,81,-5,205,4,66
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119,72,-6,251,5,63
Higher,Carly Rae Jepsen,canadian pop,2016,114,87,-5,234,6,46
Cut To The Feeling,Carly Rae Jepsen,canadian pop,2017,115,91,-3,208,6,69
Love Incredible (feat. Camila Cabello),Cashmere Cat,downtempo,2017,167,50,-9,180,12,59
Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,downtempo,2018,100,64,-5,186,9,64
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92,81,-4,169,6,50
One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016,91,69,-5,192,4,41
We Don't Talk Anymore - DROELOE Remix,Charlie Puth,dance pop,2017,100,82,-5,218,22,59
Attention,Charlie Puth,dance pop,2018,100,61,-5,209,5,83
Yeah 3x,Chris Brown,dance pop,2011,130,88,-3,242,4,69
Turn Up the Music,Chris Brown,dance pop,2012,130,84,-6,228,10,65
No Guidance (feat. Drake),Chris Brown,dance pop,2019,93,45,-7,261,15,81
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,-5,264,3,61
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,-4,185,27,58
You Lost Me,Christina Aguilera,dance pop,2010,43,39,-6,257,4,56
Not Myself Tonight,Christina Aguilera,dance pop,2010,120,81,-5,186,4,55
Genie In a Bottle,Christina Aguilera,dance pop,2015,176,80,-7,218,16,72
Change,Christina Aguilera,dance pop,2016,82,54,-6,187,8,54
A Thousand Years,Christina Perri,dance pop,2011,139,41,-7,285,3,81
Jar of Hearts,Christina Perri,dance pop,2011,75,35,-6,247,3,50
human,Christina Perri,dance pop,2014,144,49,-6,251,4,68
Overdose,Ciara,dance pop,2013,107,70,-6,227,3,43
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121,59,-7,228,4,73
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dance pop,2017,102,76,-4,251,5,78
Reggaetón Lento (Remix),CNCO,boy band,2017,94,91,-3,189,9,71
Paradise,Coldplay,permanent wave,2012,140,59,-7,279,3,79
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay,permanent wave,2013,136,45,-8,236,3,55
A Sky Full of Stars,Coldplay,permanent wave,2014,125,68,-6,268,3,60
A L I E N S,Coldplay,permanent wave,2017,148,88,-5,282,4,41
Con Calma - Remix,Daddy Yankee,latin,2019,94,87,-3,181,5,76
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,-9,248,4,77
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,-8,354,6,72
Tequila,Dan + Shay,contemporary country,2018,86,59,-6,196,3,76
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,-5,196,5,61
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,-4,208,3,68
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,-4,245,10,80
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,-3,209,4,67
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,-4,191,5,61
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,-4,193,15,72
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,-4,193,8,54
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,-4,243,3,46
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,-7,195,6,65
Heart Attack,Demi Lovato,dance pop,2013,174,79,-5,211,10,76
Made In The USA,Demi Lovato,dance pop,2013,87,86,-4,196,4,60
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,-6,226,4,63
Really Don't Care,Demi Lovato,dance pop,2015,121,73,-4,202,9,70
Confident,Demi Lovato,dance pop,2016,130,75,-6,206,7,75
Body Say,Demi Lovato,dance pop,2016,87,74,-5,194,4,65
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,-7,204,23,81
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,-5,182,8,44
Latch,Disclosure,house,2014,122,73,-5,256,17,72
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,-4,289,4,77
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,-3,204,7,76
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,-5,260,34,70
Let Me Love You,DJ Snake,electronic trap,2017,100,72,-5,206,3,82
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,-4,213,23,77
Cake By The Ocean,DNCE,dance pop,2016,119,75,-5,219,5,81
Toothbrush,DNCE,dance pop,2016,105,79,-6,232,13,72
Blown,DNCE,dance pop,2016,130,95,-5,197,4,48
Kissing Strangers,DNCE,dance pop,2017,120,74,-6,202,4,66
Body Moves,DNCE,dance pop,2017,102,69,-5,236,4,62
Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,-6,202,5,43
Kissing Strangers,DNCE,dance pop,2018,120,74,-6,202,4,66
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,-7,228,10,73
Too Good,Drake,canadian hip hop,2016,118,65,-8,263,10,74
New Rules,Dua Lipa,dance pop,2018,116,70,-6,209,7,84
IDGAF,Dua Lipa,dance pop,2018,97,54,-6,218,9,84
Want To,Dua Lipa,dance pop,2018,92,69,-5,212,12,67
Thinking out Loud,Ed Sheeran,pop,2015,79,45,-6,282,3,84
Don't,Ed Sheeran,pop,2015,95,61,-7,220,7,74
Sing,Ed Sheeran,pop,2015,120,67,-4,235,5,71
Bloodstream,Ed Sheeran,pop,2015,89,59,-6,309,5,52
Shape of You,Ed Sheeran,pop,2017,96,65,-3,234,8,87
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,-7,260,3,78
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,-6,204,8,92
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,-8,198,19,86
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,-5,220,4,85
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,-5,162,5,78
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,-6,206,12,75
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,-6,211,4,65
Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,-4,286,3,52
Burn,Ellie Goulding,dance pop,2014,87,78,-5,231,4,71
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,-7,253,5,79
On My Mind,Ellie Goulding,dance pop,2015,155,71,-7,213,5,65
Next To Me,Emeli Sandé,dance pop,2013,95,80,-5,197,4,60
Clown,Emeli Sandé,dance pop,2013,130,23,-8,221,4,60
Hurts,Emeli Sandé,dance pop,2016,106,64,-8,238,3,57
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,-5,263,23,82
Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,-10,304,24,65
I Like It,Enrique Iglesias,dance pop,2010,129,94,-3,231,9,63
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,-4,232,5,63
Finally Found You,Enrique Iglesias,dance pop,2013,128,88,-5,221,10,52
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,-4,238,13,34
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,-4,169,5,64
Like A G6,Far East Movement,dance pop,2010,125,84,-8,217,45,72
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,-6,241,18,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,-6,241,18,65
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,-8,193,9,0
Worth It,Fifth Harmony,dance pop,2015,100,77,-4,225,9,75
BO$$,Fifth Harmony,dance pop,2015,103,87,-5,171,11,66
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,-6,214,4,79
Angel,Fifth Harmony,dance pop,2017,124,53,-6,189,4,59
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,-4,235,3,73
My House,Flo Rida,dance pop,2015,94,70,-5,192,5,77
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,-5,253,9,58
St Jude,Florence + The Machine,art pop,2015,117,43,-11,225,3,47
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,94,57,-6,403,3,57
Some Nights,fun.,baroque pop,2012,108,74,-7,277,5,72
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,-6,251,8,63
Rich Boy,Galantis,big room,2017,110,90,-2,184,5,55
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,-7,251,10,78
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,-6,269,9,78
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,-5,203,3,52
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,-4,202,6,39
Make Me Like You,Gwen Stefani,dance pop,2016,118,71,-5,217,5,50
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,-3,211,10,54
Starving,Hailee Steinfeld,dance pop,2016,100,62,-4,182,6,78
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,-4,175,5,82
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,-6,219,8,76
Bad At Love,Halsey,dance pop,2018,118,75,-4,181,3,78
Sign of the Times,Harry Styles,dance pop,2018,120,57,-5,341,3,72
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,-4,220,6,67
Sparks,Hilary Duff,dance pop,2015,122,88,-5,186,6,44
Little Lies,Hilary Duff,dance pop,2016,124,76,-6,204,6,36
