TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,INDEX
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,-8,354,6,72,133
Tequila,Dan + Shay,contemporary country,2018,86,59,-6,196,3,76,134
Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,-5,196,5,61,135
Without You (feat. Usher),David Guetta,dance pop,2011,128,61,-4,208,3,68,136
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,-4,245,10,80,137
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,-3,209,4,67,138
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192,77,-4,191,5,61,139
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86,73,-4,193,15,72,140
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108,87,-4,193,8,54,141
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128,78,-4,243,3,46,142
2U (feat. Justin Bieber),David Guetta,dance pop,2018,145,61,-7,195,6,65,143
Heart Attack,Demi Lovato,dance pop,2013,174,79,-5,211,10,76,144
Made In The USA,Demi Lovato,dance pop,2013,87,86,-4,196,4,60,145
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140,66,-6,226,4,63,146
Really Don't Care,Demi Lovato,dance pop,2015,121,73,-4,202,9,70,147
Confident,Demi Lovato,dance pop,2016,130,75,-6,206,7,75,148
Body Say,Demi Lovato,dance pop,2016,87,74,-5,194,4,65,149
Sorry Not Sorry,Demi Lovato,dance pop,2018,144,64,-7,204,23,81,150
Tell Me You Love Me - NOTD Remix,Demi Lovato,dance pop,2018,102,77,-5,182,8,44,151
Latch,Disclosure,house,2014,122,73,-5,256,17,72,152
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,dance pop,2017,81,67,-4,289,4,77,153
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,dance pop,2018,98,67,-3,204,7,76,154
"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,dance pop,2019,136,76,-5,260,34,70,155
Let Me Love You,DJ Snake,electronic trap,2017,100,72,-5,206,3,82,156
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic trap,2019,96,80,-4,213,23,77,157
Cake By The Ocean,DNCE,dance pop,2016,119,75,-5,219,5,81,158
Toothbrush,DNCE,dance pop,2016,105,79,-6,232,13,72,159
Blown,DNCE,dance pop,2016,130,95,-5,197,4,48,160
Kissing Strangers,DNCE,dance pop,2017,120,74,-6,202,4,66,161
Body Moves,DNCE,dance pop,2017,102,69,-5,236,4,62,162
Kissing Strangers - Remix,DNCE,dance pop,2017,120,77,-6,202,5,43,163
Kissing Strangers,DNCE,dance pop,2018,120,74,-6,202,4,66,164
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,-7,228,10,73,165
Too Good,Drake,canadian hip hop,2016,118,65,-8,263,10,74,166
New Rules,Dua Lipa,dance pop,2018,116,70,-6,209,7,84,167
IDGAF,Dua Lipa,dance pop,2018,97,54,-6,218,9,84,168
Want To,Dua Lipa,dance pop,2018,92,69,-5,212,12,67,169
Thinking out Loud,Ed Sheeran,pop,2015,79,45,-6,282,3,84,170
Don't,Ed Sheeran,pop,2015,95,61,-7,220,7,74,171
Sing,Ed Sheeran,pop,2015,120,67,-4,235,5,71,172
Bloodstream,Ed Sheeran,pop,2015,89,59,-6,309,5,52,173
Shape of You,Ed Sheeran,pop,2017,96,65,-3,234,8,87,174
Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,pop,2018,95,30,-7,260,3,78,175
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,pop,2019,98,62,-6,204,8,92,176
Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,93,65,-8,198,19,86,177
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,102,68,-5,220,4,85,178
