TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,TITLE-PIE,ARTIST-PIE,GENRE-PIE,YEAR-PIE,BPM-PIE,ENERGY-PIE,dB-PIE,DURATION-PIE,SPEECH-PIE,POPULARITY-PIE
I Got You,Bebe Rexha,dance pop,2016,98,89,-5,192,5,64,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Ferrari,Bebe Rexha,dance pop,2018,77,48,-6,213,3,57,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Run the World (Girls),Beyoncé,dance pop,2011,127,90,-4,236,14,76,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Love On Top,Beyoncé,dance pop,2011,94,75,-5,267,9,76,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Best Thing I Never Had,Beyoncé,dance pop,2011,99,65,-4,254,3,73,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
1+1,Beyoncé,dance pop,2011,63,38,-7,274,3,60,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Partition,Beyoncé,dance pop,2014,186,44,-12,319,29,65,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
XO,Beyoncé,dance pop,2014,170,79,-9,216,26,56,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Drunk in Love,Beyoncé,dance pop,2014,140,62,-7,323,5,52,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
43776,Beyoncé,dance pop,2015,136,71,-5,214,13,72,Other,Other,Other,Other,Other,Other,-3,Other,Other,Other
Wings,Birdy,neo mellow,2014,83,71,-5,252,3,62,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Not About Angels,Birdy,neo mellow,2014,116,14,-10,190,4,56,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76,34,-9,160,3,49,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Words as Weapons,Birdy,neo mellow,2014,120,35,-9,239,3,44,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Keeping Your Head Up,Birdy,neo mellow,2016,122,78,-5,208,5,52,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Electric Love,BØRNS,electropop,2016,120,80,-8,218,5,76,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
3,Britney Spears,dance pop,2010,135,71,-2,213,5,62,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Till the World Ends,Britney Spears,dance pop,2011,132,71,-6,238,7,65,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
I Wanna Go,Britney Spears,dance pop,2011,130,55,-7,210,4,64,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Hold It Against Me,Britney Spears,dance pop,2011,133,72,-5,229,4,59,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Work Bitch,Britney Spears,dance pop,2013,128,82,-7,248,16,71,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,-5,257,5,45,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123,70,-7,231,10,53,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Invitation,Britney Spears,dance pop,2016,112,65,-7,200,11,44,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Do You Wanna Come Over?,Britney Spears,dance pop,2016,121,70,-6,203,7,34,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Just the Way You Are,Bruno Mars,pop,2010,109,84,-5,221,4,78,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Marry You,Bruno Mars,pop,2010,145,83,-5,230,4,73,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Just the Way You Are,Bruno Mars,pop,2011,109,84,-5,221,4,78,Other,Other,boy band,Other,Other,Other,-4,Other,Other,Other
Grenade,Bruno Mars,pop,2011,110,56,-7,223,6,75,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Marry You,Bruno Mars,pop,2011,145,83,-5,230,4,73,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,-4,233,4,79,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
It Will Rain,Bruno Mars,pop,2012,150,84,-7,258,5,38,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Treasure,Bruno Mars,pop,2014,116,69,-5,179,4,77,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Gorilla,Bruno Mars,pop,2014,140,54,-7,244,4,68,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Young Girls,Bruno Mars,pop,2014,126,75,-5,229,3,67,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
That's What I Like,Bruno Mars,pop,2017,134,56,-5,207,4,83,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
24K Magic,Bruno Mars,pop,2017,107,80,-4,226,8,69,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
