TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,TITLE-PIE,ARTIST-PIE,GENRE-PIE,YEAR-PIE,BPM-PIE,ENERGY-PIE,dB-PIE,DURATION-PIE,SPEECH-PIE,POPULARITY-PIE
I Like It,Enrique Iglesias,dance pop,2010,129,94,-3,231,9,63,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,-4,232,5,63,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Finally Found You,Enrique Iglesias,dance pop,2013,128,88,-5,221,10,52,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,-4,238,13,34,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,-4,169,5,64,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Like A G6,Far East Movement,dance pop,2010,125,84,-8,217,45,72,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,-6,241,18,65,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,-6,241,18,65,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,-8,193,9,0,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
Worth It,Fifth Harmony,dance pop,2015,100,77,-4,225,9,75,Other,Other,dance pop,2013,Other,80,-5,Other,Other,Other
BO$$,Fifth Harmony,dance pop,2015,103,87,-5,171,11,66,Other,Other,dance pop,2013,Other,80,-5,Other,Other,73
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,-6,214,4,79,Other,Other,dance pop,2013,Other,80,-5,Other,Other,73
Angel,Fifth Harmony,dance pop,2017,124,53,-6,189,4,59,Other,Other,dance pop,2013,Other,80,-5,Other,Other,73
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,-4,235,3,73,Other,Other,dance pop,2013,Other,80,-5,Other,Other,73
My House,Flo Rida,dance pop,2015,94,70,-5,192,5,77,Other,Other,dance pop,2013,Other,80,-5,Other,Other,73
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,-5,253,9,58,Other,Other,dance pop,2013,Other,80,-5,Other,7,73
St Jude,Florence + The Machine,art pop,2015,117,43,-11,225,3,47,Other,Other,dance pop,2013,Other,80,-5,Other,7,73
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,94,57,-6,403,3,57,Other,Other,dance pop,2013,Other,80,-5,230,7,73
Some Nights,fun.,baroque pop,2012,108,74,-7,277,5,72,Other,Other,dance pop,2013,Other,Other,-5,230,7,73
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,-6,251,8,63,Other,Other,dance pop,2013,Other,Other,-5,230,7,73
Rich Boy,Galantis,big room,2017,110,90,-2,184,5,55,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,-7,251,10,78,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,-6,269,9,78,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,-5,203,3,52,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,-4,202,6,39,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Make Me Like You,Gwen Stefani,dance pop,2016,118,71,-5,217,5,50,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,-3,211,10,54,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Starving,Hailee Steinfeld,dance pop,2016,100,62,-4,182,6,78,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,-4,175,5,82,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,-6,219,8,76,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Bad At Love,Halsey,dance pop,2018,118,75,-4,181,3,78,Other,Other,dance pop,Other,Other,Other,-5,230,7,73
Sign of the Times,Harry Styles,dance pop,2018,120,57,-5,341,3,72,Other,Other,dance pop,Other,Other,Other,-5,Other,7,73
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,-4,220,6,67,Other,Other,dance pop,Other,Other,Other,-5,Other,7,73
Sparks,Hilary Duff,dance pop,2015,122,88,-5,186,6,44,Other,Other,dance pop,Other,Other,Other,-5,Other,7,73
Little Lies,Hilary Duff,dance pop,2016,124,76,-6,204,6,36,Other,Other,dance pop,Other,Other,Other,-5,Other,7,73
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,-5,200,12,75,Other,Other,dance pop,Other,Other,Other,-5,Other,7,73
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,-5,242,5,81,Other,Other,dance pop,Other,Other,Other,-5,Other,7,72
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,-3,157,3,67,Other,Other,dance pop,Other,Other,Other,-5,Other,7,72
Fancy,Iggy Azalea,australian hip hop,2014,95,72,-4,200,7,70,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,-6,210,8,68,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Impossible,James Arthur,pop,2013,170,70,-5,209,9,77,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
BURNITUP!,Janet Jackson,dance pop,2016,123,71,-7,250,18,31,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,-7,178,23,68,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,-7,193,25,67,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Want to Want Me,Jason Derulo,dance pop,2015,114,68,-6,208,6,77,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Trumpets,Jason Derulo,dance pop,2015,82,70,-5,217,24,69,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Dangerous,Jennifer Hudson,dance pop,2015,109,53,-5,255,5,18,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
On The Floor,Jennifer Lopez,dance pop,2011,130,78,-5,285,5,69,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,-4,200,14,59,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Papi,Jennifer Lopez,dance pop,2011,120,81,-5,223,6,58,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,-4,201,7,31,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Dance Again,Jennifer Lopez,dance pop,2012,128,86,-5,237,7,66,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
Live It Up,Jennifer Lopez,dance pop,2013,128,73,-5,244,17,57,Other,Other,dance pop,Other,Other,78,-5,Other,7,72
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,-6,207,42,28,Other,Other,dance pop,Other,Other,78,-5,Other,6,72
Booty,Jennifer Lopez,dance pop,2015,129,95,-4,210,5,64,Other,Other,dance pop,Other,Other,78,-5,Other,6,72
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,-6,292,5,55,Other,Other,dance pop,Other,Other,78,-5,Other,6,72
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,-6,218,23,72,Other,Other,dance pop,Other,Other,78,-5,Other,6,72
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,-3,211,3,52,Other,Other,dance pop,Other,Other,78,-5,Other,6,72
Price Tag,Jessie J,australian pop,2011,175,83,-4,223,18,72,Other,Other,dance pop,Other,Other,78,-5,Other,6,72
Domino,Jessie J,australian pop,2012,127,55,-5,232,3,69,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Bang Bang,Jessie J,australian pop,2015,150,75,-4,199,9,61,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Foolish Games,Jewel,alaska indie,2013,132,34,-11,250,3,36,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Picky - Remix,Joey Montana,latin,2016,186,81,-3,225,7,29,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
All of Me,John Legend,neo mellow,2014,120,26,-7,270,3,86,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Start,John Legend,neo mellow,2016,110,4,-15,310,4,47,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Love Me Again,John Newman,pop,2014,126,89,-5,240,4,73,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Mama,Jonas Blue,dance pop,2017,104,79,-4,184,4,75,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Pom Poms,Jonas Brothers,boy band,2013,148,98,-2,198,9,52,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Only Human,Jonas Brothers,boy band,2019,94,50,-6,183,7,87,Other,Other,dance pop,Other,Other,Other,-5,Other,6,72
Sucker,Jonas Brothers,boy band,2019,138,73,-5,181,6,86,Other,Other,dance pop,Other,Other,Other,-5,Other,6,Other
Baby,Justin Bieber,canadian pop,2010,65,86,-5,214,14,77,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,-5,228,6,72,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
Boyfriend,Justin Bieber,canadian pop,2012,97,55,-6,171,5,71,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
Heartbreaker,Justin Bieber,canadian pop,2013,105,52,-7,263,10,61,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
Love Yourself,Justin Bieber,canadian pop,2015,100,38,-10,234,44,83,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
Sorry,Justin Bieber,canadian pop,2015,100,76,-4,201,5,81,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
What Do You Mean?,Justin Bieber,canadian pop,2015,125,57,-8,206,10,79,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
Company,Justin Bieber,canadian pop,2015,95,80,-5,208,6,72,Other,Justin Bieber,dance pop,Other,Other,Other,-5,Other,6,Other
I'll Show You,Justin Bieber,canadian pop,2015,192,61,-7,200,10,68,Other,Justin Bieber,dance pop,2015,Other,Other,-5,Other,6,Other
The Feeling,Justin Bieber,canadian pop,2015,127,81,-6,245,6,67,Other,Justin Bieber,dance pop,2015,Other,Other,-5,Other,6,Other
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125,36,-11,204,4,64,Other,Justin Bieber,dance pop,2015,Other,Other,-5,Other,6,Other
Mark My Words,Justin Bieber,canadian pop,2015,114,26,-9,134,3,63,Other,Justin Bieber,dance pop,2015,Other,Other,-5,Other,6,Other
Been You,Justin Bieber,canadian pop,2015,113,78,-6,199,7,60,Other,Justin Bieber,dance pop,2015,Other,75,-5,Other,6,Other
Love Yourself,Justin Bieber,canadian pop,2016,100,38,-10,234,44,83,Other,Justin Bieber,dance pop,2015,Other,75,-5,Other,6,Other
Company,Justin Bieber,canadian pop,2016,95,80,-5,208,6,72,Other,Justin Bieber,dance pop,2015,Other,75,-5,Other,6,Other
Friends (with BloodPop®),Justin Bieber,canadian pop,2018,105,73,-5,189,4,77,Other,Justin Bieber,dance pop,2015,Other,75,-5,Other,6,Other
Suit & Tie,Justin Timberlake,dance pop,2013,102,60,-4,326,22,68,Other,Other,dance pop,2015,Other,75,-5,Other,6,Other
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,-6,277,5,60,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
TKO,Justin Timberlake,dance pop,2013,138,68,-7,424,24,58,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Take Back the Night,Justin Timberlake,dance pop,2013,107,66,-5,353,16,54,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Not a Bad Thing,Justin Timberlake,dance pop,2014,86,73,-6,266,6,0,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113,83,-6,236,7,79,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Say Something,Justin Timberlake,dance pop,2018,97,63,-7,279,8,74,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Filthy,Justin Timberlake,dance pop,2018,97,58,-6,294,14,62,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Supplies,Justin Timberlake,dance pop,2018,120,55,-7,226,5,57,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Monster,Kanye West,chicago rap,2011,125,69,-6,379,20,73,Other,Other,dance pop,2015,120,75,-5,Other,6,Other
Teenage Dream,Katy Perry,dance pop,2010,120,80,-5,228,4,63,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
California Gurls,Katy Perry,dance pop,2010,125,75,-4,235,5,62,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
E.T.,Katy Perry,dance pop,2011,152,87,-5,230,18,66,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
Last Friday Night (T.G.I.F.),Katy Perry,dance pop,2011,126,81,-4,231,4,27,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
Firework,Katy Perry,dance pop,2011,124,83,-5,228,5,25,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
Part Of Me,Katy Perry,dance pop,2012,130,92,-5,216,4,71,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
Wide Awake,Katy Perry,dance pop,2012,160,68,-5,221,4,68,Other,Katy Perry,dance pop,2015,120,75,-5,Other,6,Other
The One That Got Away,Katy Perry,dance pop,2012,134,80,-4,227,4,67,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
Roar,Katy Perry,dance pop,2013,180,77,-5,224,4,78,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
Dark Horse,Katy Perry,dance pop,2014,132,59,-6,216,5,78,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
This Is How We Do,Katy Perry,dance pop,2014,96,64,-6,204,5,66,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
Birthday,Katy Perry,dance pop,2014,126,67,-5,215,7,65,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
Legendary Lovers,Katy Perry,dance pop,2015,126,84,-5,224,8,41,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
Rise,Katy Perry,dance pop,2016,101,64,-6,203,5,66,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,6,Other
Swish Swish,Katy Perry,dance pop,2017,120,71,-5,243,4,73,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,5,Other
Chained To The Rhythm,Katy Perry,dance pop,2017,190,80,-5,238,17,72,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,5,Other
Bon appétit,Katy Perry,dance pop,2017,106,79,-6,228,6,68,Other,Katy Perry,dance pop,2015,120,Other,-5,Other,5,Other
Stronger (What Doesn't Kill You),Kelly Clarkson,dance pop,2012,116,94,-4,222,5,74,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Underneath the Tree,Kelly Clarkson,dance pop,2013,160,81,-5,230,5,88,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
People Like Us,Kelly Clarkson,dance pop,2013,128,79,-5,259,4,45,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Heartbeat Song,Kelly Clarkson,dance pop,2015,149,80,-4,199,5,69,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Run Run Run,Kelly Clarkson,dance pop,2015,112,37,-7,273,4,36,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Freak,Kelly Rowland,atl hip hop,2013,104,78,-5,274,6,28,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
TiK ToK,Kesha,dance pop,2010,120,84,-3,200,14,80,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Your Love Is My Drug,Kesha,dance pop,2010,120,61,-4,187,10,69,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Take It Off,Kesha,dance pop,2010,125,68,-5,215,3,66,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,-3,172,12,62,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
We R Who We R,Kesha,dance pop,2011,120,82,-5,205,4,72,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Blow,Kesha,dance pop,2011,120,73,-4,220,4,64,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Die Young,Kesha,dance pop,2013,128,70,-5,212,5,75,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,-4,229,4,46,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Praying,Kesha,dance pop,2017,73,39,-7,230,3,77,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Talk (feat. Disclosure),Khalid,alternative r&b,2019,136,40,-9,198,13,84,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
It Ain't Me (with Selena Gomez),Kygo,edm,2017,100,53,-7,221,7,79,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
First Time,Kygo,edm,2017,90,59,-7,194,11,71,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
First Time,Kygo,edm,2018,90,59,-7,194,11,71,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Higher Love,Kygo,edm,2019,104,68,-7,228,3,88,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Beneath Your Beautiful,Labrinth,pop,2013,84,52,-6,272,4,70,Other,Other,dance pop,2015,120,Other,-5,Other,5,Other
Bad Romance,Lady Gaga,dance pop,2010,119,92,-4,295,4,79,Other,Other,dance pop,2015,Other,Other,-5,Other,5,Other
Telephone,Lady Gaga,dance pop,2010,122,83,-6,221,4,73,Other,Other,dance pop,2015,Other,Other,-5,Other,5,Other
Alejandro,Lady Gaga,dance pop,2010,99,80,-7,274,5,69,Other,Other,dance pop,2015,Other,Other,-5,Other,5,Other
Born This Way,Lady Gaga,dance pop,2011,124,83,-5,260,16,73,Other,Other,dance pop,2015,Other,Other,-5,Other,5,Other
The Edge Of Glory,Lady Gaga,dance pop,2011,128,77,-6,321,4,67,Other,Other,dance pop,2015,Other,Other,-5,Other,5,Other
You And I,Lady Gaga,dance pop,2011,127,70,-5,307,5,64,Other,Other,dance pop,2015,Other,Other,-5,Other,5,Other
Judas,Lady Gaga,dance pop,2011,131,93,-4,249,7,63,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Marry The Night,Lady Gaga,dance pop,2011,131,88,-4,265,6,61,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Applause,Lady Gaga,dance pop,2013,140,78,-4,212,5,52,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
G.U.Y.,Lady Gaga,dance pop,2014,110,92,-3,233,4,65,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Million Reasons,Lady Gaga,dance pop,2016,130,42,-8,205,4,80,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Perfect Illusion,Lady Gaga,dance pop,2016,125,86,-5,182,4,67,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
The Cure,Lady Gaga,dance pop,2017,100,51,-5,211,3,71,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Shallow - Radio Edit,Lady Gaga,dance pop,2018,96,33,-7,217,3,80,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,-6,215,6,74,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Love,Lana Del Rey,art pop,2017,99,37,-11,273,3,72,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,art pop,2017,135,57,-9,261,13,67,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Lust for Life (with The Weeknd),Lana Del Rey,art pop,2017,100,67,-9,264,6,54,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Cannonball,Lea Michele,hollywood,2014,92,82,-3,215,5,37,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Someone You Loved,Lewis Capaldi,pop,2019,110,41,-6,182,3,96,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Strip That Down (feat. Quavo),Liam Payne,dance pop,2017,106,50,-5,202,5,69,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Familiar,Liam Payne,dance pop,2018,93,81,-5,197,33,72,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
For You (With Rita Ora),Liam Payne,dance pop,2018,113,80,-5,243,3,67,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123,89,-5,189,3,58,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Sheezus,Lily Allen,dance pop,2014,130,50,-7,235,4,37,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Move,Little Mix,dance pop,2013,121,74,-5,224,9,63,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,-3,211,48,50,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Love Me Like You,Little Mix,dance pop,2015,106,67,-4,198,4,65,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Shout Out to My Ex,Little Mix,dance pop,2016,126,75,-4,246,9,77,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Touch (feat. Kid Ink),Little Mix,dance pop,2017,102,75,-4,203,11,59,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Truth Hurts,Lizzo,escape room,2019,158,62,-3,173,11,90,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Good as Hell (feat. Ariana Grande) - Remix,Lizzo,escape room,2019,96,89,-3,159,6,90,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Party Rock Anthem,LMFAO,dance pop,2011,130,74,-4,262,16,72,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Sexy And I Know It,LMFAO,dance pop,2011,130,86,-4,199,32,67,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Team,Lorde,art pop,2014,100,58,-7,193,9,73,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122,70,-8,159,3,61,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,belgian edm,2017,122,64,-7,158,4,59,Other,Other,dance pop,2015,Other,Other,-6,Other,5,Other
Despacito - Remix,Luis Fonsi,latin,2017,178,82,-4,229,17,76,Other,Other,dance pop,2015,Other,Other,-6,213,5,Other
7 Years,Lukas Graham,danish pop,2016,120,47,-6,237,5,80,Other,Other,dance pop,2015,Other,Other,-6,213,5,Other
Don't Call Me Up,Mabel,dance pop,2019,99,88,-3,178,15,86,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,-4,258,8,70,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,-7,236,29,69,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110,61,-4,293,7,70,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Ghosttown,Madonna,dance pop,2015,79,55,-7,250,4,54,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Living For Love,Madonna,dance pop,2015,123,79,-5,219,9,52,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Rude,MAGIC!,pop,2014,144,76,-5,225,4,79,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93,80,-5,185,4,73,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108,88,-4,166,7,73,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
#Beautiful,Mariah Carey,dance pop,2013,107,76,-5,200,4,51,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
You're Mine (Eternal),Mariah Carey,dance pop,2014,149,58,-7,224,7,38,Other,Other,dance pop,2016,Other,Other,-6,213,5,Other
Uptown Funk,Mark Ronson,dance pop,2015,115,61,-7,270,8,82,Other,Other,dance pop,2016,Other,Other,-6,Other,5,Other
Find U Again (feat. Camila Cabello),Mark Ronson,dance pop,2019,104,66,-7,176,3,75,Other,Other,dance pop,2016,Other,Other,-6,Other,5,Other
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,dance pop,2019,114,79,-6,217,7,69,Other,Other,dance pop,2016,Other,Other,-6,Other,5,Other
Misery,Maroon 5,pop,2010,103,81,-5,216,4,65,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,-4,201,5,76,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Payphone,Maroon 5,pop,2012,110,75,-5,231,4,79,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
One More Night,Maroon 5,pop,2012,93,82,-3,220,3,73,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Daylight,Maroon 5,pop,2013,120,67,-5,225,3,66,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Love Somebody,Maroon 5,pop,2013,120,78,-6,230,4,65,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Maps,Maroon 5,pop,2014,120,71,-6,190,3,78,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Sugar,Maroon 5,pop,2015,120,79,-7,235,3,81,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Animals,Maroon 5,pop,2015,190,74,-6,231,9,76,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Sugar,Maroon 5,pop,2015,120,79,-7,235,3,66,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
Cold (feat. Future),Maroon 5,pop,2017,100,72,-6,234,11,72,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
What Lovers Do (feat. SZA),Maroon 5,pop,2018,110,60,-5,200,6,79,Other,Maroon 5,dance pop,2016,Other,Other,-6,Other,5,Other
